signal,timestamp,value,unit,quality,can_id,channel
Vehicle_Speed,2026-07-10T10:09:39.289961+00:00,0.0,km/h,good,0x51,CAN1
Vehicle_Speed,2026-07-10T10:09:39.344682+00:00,0.0,km/h,good,0x51,CAN2
Vehicle_Speed,2026-07-10T10:09:39.347986+00:00,0.0,km/h,good,0x51,CAN1
Vehicle_Speed,2026-07-10T10:09:39.404922+00:00,0.0,km/h,good,0x51,CAN2
Vehicle_Speed,2026-07-10T10:09:39.407532+00:00,0.0,km/h,good,0x51,CAN1
Vehicle_Speed,2026-07-10T10:09:39.463163+00:00,0.0,km/h,good,0x51,CAN2
Vehicle_Speed,2026-07-10T10:09:39.467919+00:00,0.0,km/h,good,0x51,CAN1
Vehicle_Speed,2026-07-10T10:09:39.522726+00:00,0.0,km/h,good,0x51,CAN2
Vehicle_Speed,2026-07-10T10:09:39.526528+00:00,0.0,km/h,good,0x51,CAN1
Vehicle_Speed,2026-07-10T10:09:39.582932+00:00,0.0,km/h,good,0x51,CAN2
Vehicle_Speed,2026-07-10T10:09:39.600026+00:00,0.0,km/h,good,0x51,CAN1
Vehicle_Speed,2026-07-10T10:09:39.644454+00:00,0.0,km/h,good,0x51,CAN2
Vehicle_Speed,2026-07-10T10:09:39.646881+00:00,0.0,km/h,good,0x51,CAN1
Vehicle_Speed,2026-07-10T10:09:39.704952+00:00,0.0,km/h,good,0x51,CAN2
Vehicle_Speed,2026-07-10T10:09:39.707886+00:00,0.0,km/h,good,0x51,CAN1
Vehicle_Speed,2026-07-10T10:09:39.765392+00:00,0.0,km/h,good,0x51,CAN2
Vehicle_Speed,2026-07-10T10:09:39.767736+00:00,0.0,km/h,good,0x51,CAN1
Vehicle_Speed,2026-07-10T10:09:39.823908+00:00,0.0,km/h,good,0x51,CAN2
Vehicle_Speed,2026-07-10T10:09:39.830073+00:00,0.0,km/h,good,0x51,CAN1
Vehicle_Speed,2026-07-10T10:09:39.886530+00:00,0.0,km/h,good,0x51,CAN2
Vehicle_Speed,2026-07-10T10:09:39.888836+00:00,0.0,km/h,good,0x51,CAN1
Vehicle_Speed,2026-07-10T10:09:39.945146+00:00,0.0,km/h,good,0x51,CAN2
